mutation_year,mutation_week,company_id,branch_id,SBIHOOFDACT,SBINEVENACT1,SBINEVENACT2
2021,26,0f8a16325e3de5ffe60632f4d50fd81ecb3e873b,627c0c4eb4ed65bcf3c4c3d89c476976899e39c1,4773,6420,
2022,26,0f8a16325e3de5ffe60632f4d50fd81ecb3e873b,627c0c4eb4ed65bcf3c4c3d89c476976899e39c1,4773,6420,
2022,38,0f8a16325e3de5ffe60632f4d50fd81ecb3e873b,627c0c4eb4ed65bcf3c4c3d89c476976899e39c1,4773,6420,
2021,02,0459ed7847cc6372c981568b5e14c899578f75db,ee264f2c7eb951c315577be4743ea4559772ef3c,01422,0143,5221
2021,04,0459ed7847cc6372c981568b5e14c899578f75db,ee264f2c7eb951c315577be4743ea4559772ef3c,01422,0143,5221
2021,41,9c064f82a823f2d467d9e118b9b13472dc1c197d,2c0e6e3b706f3f8a33287f2e9273f844bd750889,90011,85522,9529
2021,20,51d9e2299d0b9605bbb0d283adf0e5aa75189525,c27f39f91c2c01a9e007e181c380ead61d5453eb,6420,,
2022,19,ec38178c31e48c23ad4361a06c5dd209aad5f53f,f0e9e62f2847ab17a61c863c9ec612e348184d5c,85592,,
2021,42,ac7f0cff716c76f84f89fe5cf74a2b762791e638,3d3936217695cc1defa930573642506a492657c6,4711,,
2022,50,ac7f0cff716c76f84f89fe5cf74a2b762791e638,3d3936217695cc1defa930573642506a492657c6,4711,,
2023,11,ac7f0cff716c76f84f89fe5cf74a2b762791e638,3d3936217695cc1defa930573642506a492657c6,4711,,
2021,28,16916e2ad608a2eefb4110a6f0a7dc7d75a2e3b8,f94bd31d0cf027f0cf992815fd35af58fabd0b18,70102,,
2022,37,16916e2ad608a2eefb4110a6f0a7dc7d75a2e3b8,f94bd31d0cf027f0cf992815fd35af58fabd0b18,70102,,
2021,50,65c2af8c7b96073f1b22417ad31ac2b06b904501,7254b922c1253702d7669a189326fb8b02af0c99,50201,,
2022,49,65c2af8c7b96073f1b22417ad31ac2b06b904501,7254b922c1253702d7669a189326fb8b02af0c99,50201,,
2021,07,51bab61ccfa8fa136804b072c10049307b0194f6,18d434b9bc446525644e548ed7bbba1ee395b5aa,64303,,
2022,24,51bab61ccfa8fa136804b072c10049307b0194f6,18d434b9bc446525644e548ed7bbba1ee395b5aa,64303,,
2023,05,51bab61ccfa8fa136804b072c10049307b0194f6,18d434b9bc446525644e548ed7bbba1ee395b5aa,64303,,
2023,10,51bab61ccfa8fa136804b072c10049307b0194f6,18d434b9bc446525644e548ed7bbba1ee395b5aa,64303,,
2023,10,502d53ee4525ffa109ba4b856a28ad8f712bc82b,8ff6c790c2b8640aa04066a60bafed824b104e17,01411,,
2021,05,4164c0463b3f63de4be244b22c53905826572f84,39bba6a3be3beed91134c20ccacff44dddfd1fb9,6420,,
2022,24,4164c0463b3f63de4be244b22c53905826572f84,39bba6a3be3beed91134c20ccacff44dddfd1fb9,6420,,
2021,18,b720aba68da4dd0bcf908f525601312d11bc6e23,026186d8a98ecbd00f29720f4f1bfea0f117d82f,86919,,
2021,41,aeb7f34dc19fde63e56c00ccd1d117c1e0fb2aa7,d202e8f79e173587d8d710bd148fd2aafa9d904c,86221,,
2021,46,059e6a2aedaf54fb08f9ce66637f5388fe578026,372b98505aa2715bce498cb7826c4e57e71304c9,70221,,
2023,03,059e6a2aedaf54fb08f9ce66637f5388fe578026,372b98505aa2715bce498cb7826c4e57e71304c9,70221,,
2022,02,bd92c0d37f40fbeffc2d3f2a59b83dcf997a2b14,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,94993,,
2021,07,5952b039edb0b679d0f9ffdee65457c03d27bf91,069b2aae3a47f6ca8cba06ff160465596344bff6,6832,4321,
2021,37,5952b039edb0b679d0f9ffdee65457c03d27bf91,069b2aae3a47f6ca8cba06ff160465596344bff6,6832,4321,
2022,30,5952b039edb0b679d0f9ffdee65457c03d27bf91,069b2aae3a47f6ca8cba06ff160465596344bff6,6832,4321,
2022,39,5952b039edb0b679d0f9ffdee65457c03d27bf91,069b2aae3a47f6ca8cba06ff160465596344bff6,6832,4321,
2022,42,5952b039edb0b679d0f9ffdee65457c03d27bf91,069b2aae3a47f6ca8cba06ff160465596344bff6,6832,4321,
2022,50,5952b039edb0b679d0f9ffdee65457c03d27bf91,069b2aae3a47f6ca8cba06ff160465596344bff6,6832,4321,
2021,22,ff7b3802a83ab02fec87ac4f06fd1791934c6e8b,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,,,
2021,46,1f84ba25c361ee20851fd097bd0cfd60cb080afc,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,94997,,
2021,50,1f84ba25c361ee20851fd097bd0cfd60cb080afc,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,94997,,
2021,18,747625ad903668f27e703d84751a76f57c775ace,b5eb6da32aea4975b3ebb9365ea0920da8dff6db,3109,,
2021,20,634139cffbdef88b5ad8e3b7032797e9802ff091,e808e878e00fee3f69ae02f25f5f02b9139200c3,1091,,
2022,36,650c1102edefcfdb81176605e56038e9b338cb4a,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,94997,,
2023,01,6df2d507faef19bb0fce6e27eeab93ff9db5b1d9,777bd77ec1e25b009d202607151a59d1a77031bb,70221,,
2021,43,1183d123d46696d2351bf6de0370f83a4e77a43f,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,94997,,
2022,27,c5fb79c605d2783804fe32fb0d713bd929694478,92916dfce2eb394d3998da2bd8b4b0701311933b,9512,4742,
2022,14,0dbcd47c5402ea97bd962fabf301826af21b19ab,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,86929,,
2021,35,ef480256cf1efcb781c57e86758ff05724eeb69b,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,94997,,
2021,50,61bb09807b3afd6d857653b5f3644fa1b62c0b65,40cd38edb515326031945e001128cf3db708440b,86912,,
2021,50,61bb09807b3afd6d857653b5f3644fa1b62c0b65,6770fcb1116bcc93ca997a527954178c5d957d79,86912,,
2022,02,61bb09807b3afd6d857653b5f3644fa1b62c0b65,36bce9ecaba600560f624007d04e450968698cae,86912,,
