code,descr_short_nl,descr_short_en,status
2221,"Verv. platen,folie,buizen e.d.(kunstst.)","Manufacture of plastic plates, sheets, tubes and profiles",1
2222,Verv. verpakkingsmiddelen van kunststof,Manufacture of plastic packing goods,1
2223,Verv. kunststofproducten voor de bouw,Manufacture of builders ware of plastic,1
22230,Vervaardiging van kunststofproducten voor de bouw,Manufacture of builders ware of plastic,1
222301,Verv. kunststofproducten voor de bouw,Manufacture of builders’ ware of plastic (incl. hard floor cover),1
222302,Verv. linoleum e.d. (geen kunststof),Manuf. of linoleum and solid floor coverings made of plastic,1
2229,Verv. overige producten van kunststof,Manufacture of other plastic products,1
23,Verv. overige niet-metaalh. minerale pr.,Manufacture of other non-metallic mineral products,1
231,Vervaardiging van glas en glaswerk,Manufacture of glass and glass products,1
2311,Vervaardiging van vlakglas,Manufacture of flat glass,1
2312,Vormen en bewerken van vlakglas,Shaping and processing of flat glass,1
2313,Vervaardiging van holglas,Manufacture of hollow glass,1
2314,Vervaardiging van glasvezels,Manufacture of glass fibres,1
2319,Verv./bew overig glas incl. techn. glasw,"Manuf. and processing of other glass, incl. technical glassware",1
232,Verv. vuurvaste keramische producten,Manufacture of refractory products,1
2320,Verv. vuurvaste keramische producten,Manufacture of refractory products,1
233,Verv. keramische producten voor de bouw,Manufacture of clay building materials,1
2331,Verv. keramische tegels en plavuizen,Manufacture of ceramic tiles and flags,1
2332,Verv. keramische producten voor de bouw,"Manufacture of bricks, tiles and construction products, in baked clay",1
234,Verv. overige keramische producten,Manufacture of other porcelain and ceramic products,1
2341,Verv. huishoudelijk en sieraardewerk,Manufacture of ceramic household and ornamental articles,1
2342,Vervaardiging van sanitair aardewerk,Manufacture of ceramic sanitary fixtures,1
2343,Verv. isolatoren en isolatiemateriaal,Manufacture of ceramic insulators and insulating fittings,1
2344,Verv. overig technisch aardewerk,Manufacture of other technical ceramic products,1
2349,Verv. overige keramische prod. n.e.g.,Manufacture of other ceramic products,1
235,"Vervaardiging van cement, kalk en gips","Manufacture of cement, lime and plaster",1
2351,Vervaardiging van cement,Manufacture of cement,1
2352,Vervaardiging van kalk en gips,Manufacture of lime and plaster,1
23520,Vervaardiging van kalk en gips,Manufacture of lime and plaster,1
235201,Vervaardiging van kalk,Manufacture of lime,1
235202,Vervaardiging van gips,Manufacture of plaster,1
236,"Verv. prod. van beton, gips en cement","Manufacture of articles of concrete, cement and plaster",1
2361,Verv. producten van beton voor de bouw,Manufacture of concrete products for construction purposes,1
23611,Verv. producten van beton voor de bouw,Manufacture of products of concrete for the construction,1
23612,Vervaardiging van kalkzandsteen,Manufacture of lime-sandstone,1
2362,Verv. producten van gips voor de bouw,Manufacture of plaster products for construction purposes,1
2363,Vervaardiging van stortklare beton,Manufacture of ready-mixed concrete,1
2364,Vervaardiging van mortel in droge vorm,Manufacture of mortars,1
2365,Verv. producten van vezelcement,Manufacture of fibre cement,1
2369,Verv.overige prod. van beton/gips/cement,"Manufacture of other articles of concrete, plaster and cement",1
237,Natuursteenbewerking,"Cutting, shaping and finishing of stone",1
2370,Natuursteenbewerking,"Cutting, shaping and finishing of stone",1
239,Verv. overige niet-metaalh. minerale pr.,Manuf. of abrasive products and non-metallic mineral prod. n.e.c.,1
